Date,Open,High,Low,Close,Volume,Adj Close
2012-08-14,39.94,40.25,39.82,40.00,2789600,32.38416
2012-08-13,39.89,40.025,39.655,39.755,2554500,32.18581
2012-08-10,39.765,39.99,39.425,39.96,2826300,32.35177
2012-08-09,40.00,40.21,39.52,40.00,4202600,32.38416
2012-08-08,39.73,39.99,39.32,39.895,5435800,32.29915
2012-08-07,39.07,39.88,38.925,39.755,7662300,32.18581
2012-08-06,38.705,39.075,38.33,38.90,4950500,31.4936
2012-08-03,37.35,38.94,37.35,38.925,8288000,31.51383
2012-08-02,37.90,39.00,37.34,37.34,8118300,30.23061
2012-08-01,37.795,38.185,37.535,37.995,4416400,30.7609
2012-07-31,37.435,38.08,37.335,37.605,8890800,30.44516
2012-07-30,37.60,37.93,37.185,37.45,7439700,30.31967
2012-07-27,36.60,37.72,36.50,37.35,10520800,30.23871
2012-07-26,34.78,36.13,34.505,36.12,9488900,29.2429
2012-07-25,34.715,35.115,34.55,34.83,4497200,28.19851
2012-07-24,35.655,35.74,34.83,34.83,5144900,28.19851
2012-07-23,35.855,35.955,35.225,35.39,6691200,28.65188
2012-07-20,36.595,36.73,35.99,36.055,8019400,29.19027
2012-07-19,36.69,36.80,36.405,36.665,4812400,29.68413
2012-07-18,36.19,36.57,35.965,36.54,5021200,29.58293
2012-07-17,36.29,36.325,35.79,35.865,5181600,29.03645
2012-07-16,36.07,36.145,35.685,36.01,4148700,29.15384
2012-07-13,35.74,36.135,35.635,36.035,4621300,29.17408
2012-07-12,35.81,35.89,35.50,35.63,5535800,28.84619
2012-07-11,35.77,36.145,35.69,36.04,3529600,29.17813
2012-07-10,36.155,36.295,35.87,35.96,4398400,29.11336
2012-07-09,36.04,36.15,35.615,35.94,4042800,29.09717
2012-07-06,36.305,36.59,36.01,36.06,4504500,29.19432
2012-07-05,36.805,37.15,36.32,36.515,6609700,29.56269
2012-07-04,37.00,37.00,36.54,36.91,5060900,29.88248
